Date,Open,High,Low,Close,Adj Close,Volume
2022-07-06,26320.779297,26840.939453,25852.238281,26791.193359,26791.193359,32072570187
2022-07-07,26790.630859,28252.349609,26414.566406,28059.839844,28059.839844,33477114514
2022-07-08,28059.279297,28917.462891,27598.849609,28112.763672,28112.763672,64553619483
2022-07-09,28094.279297,28301.667969,27743.861328,27933.060547,27933.060547,38345660029
2022-07-10,27931.603516,27931.603516,26790.117188,27011.339844,27011.339844,37147960266
2022-07-11,27006.037109,27006.037109,25899.910156,25956.730469,25956.730469,31389286170
2022-07-12,25956.625000,26106.447266,25158.687500,25184.781250,25184.781250,33638356508
2022-07-13,25187.462891,26276.984375,24759.314453,26275.634766,26275.634766,42955060322
2022-07-14,26274.845703,27251.101563,25924.492188,26963.441406,26963.441406,40843472778
2022-07-15,26967.683594,27524.169922,26770.142578,27155.154297,27155.154297,33761700142
2022-07-16,27152.253906,28038.861328,26723.833984,27616.490234,27616.490234,31673067903
2022-07-17,27622.648438,28151.250000,27028.152344,27029.667969,27029.667969,29824370310
2022-07-18,27033.005859,29236.808594,27033.005859,29187.548828,29187.548828,51888868003
2022-07-19,29164.392578,30464.751953,28086.906250,30111.416016,30111.416016,62780029361
2022-07-20,30116.255859,31167.560547,29606.787109,29938.617188,29938.617188,55326961398
2022-07-21,29940.511719,30121.890625,28960.117188,29836.921875,29836.921875,43318021697
2022-07-22,29835.792969,30384.767578,29190.050781,29339.347656,29339.347656,40585023919
2022-07-23,29329.021484,29678.054688,28419.619141,29017.083984,29017.083984,31027276460
2022-07-24,29017.125000,29676.667969,28812.183594,29224.447266,29224.447266,30460594270
2022-07-25,29221.851563,29268.326172,27453.236328,27453.310547,27453.310547,45719181210
2022-07-26,27452.566406,27452.566406,26793.179688,27348.626953,27348.626953,36857559426
2022-07-27,27354.310547,29452.271484,27118.949219,29393.867188,29393.867188,40710693150
2022-07-28,29397.832031,30885.126953,29127.966797,30536.865234,30536.865234,51500002952
2022-07-29,30538.564453,31100.121094,30179.882813,30458.623047,30458.623047,45918633231
2022-07-30,30448.625000,31441.230469,30171.849609,30268.708984,30268.708984,36016349021
2022-07-31,30263.414063,30858.816406,29823.437500,29905.228516,29905.228516,30182915211
2022-08-01,29905.000000,30062.099609,29424.515625,29944.361328,29944.361328,33200220565
2022-08-02,29936.957031,30055.078125,29214.388672,29613.046875,29613.046875,36586646862
2022-08-03,29617.154297,30268.621094,29291.183594,29370.029297,29370.029297,33794415154
2022-08-04,29372.224609,29783.693359,28915.890625,29126.494141,29126.494141,32330238118
2022-08-05,29121.187500,30180.476563,29107.933594,30115.529297,30115.529297,37346487544
2022-08-06,30118.257813,30163.693359,29691.343750,29691.343750,29691.343750,20661567748
2022-08-07,29694.224609,30211.607422,29605.064453,29999.335938,29999.335938,20564213717
2022-08-08,30004.042969,31168.664063,29999.746094,30607.380859,30607.380859,36734205808
2022-08-09,30609.947266,30735.794922,29582.728516,29849.007813,29849.007813,30353358004
2022-08-10,29847.179688,30957.644531,29358.183594,30592.634766,30592.634766,41949162276
2022-08-11,30593.533203,31603.253906,30512.490234,30578.792969,30578.792969,47388021315
2022-08-12,30578.375000,31190.105469,30242.501953,31177.650391,31177.650391,34835473714
2022-08-13,31176.845703,31761.822266,31105.205078,31204.798828,31204.798828,29369208302
2022-08-14,31211.173828,31908.574219,30926.523438,31082.419922,31082.419922,29388687126
2022-08-15,31081.117188,32149.275391,30770.878906,31149.125000,31149.125000,45327405777
2022-08-16,31135.140625,31280.167969,30567.560547,30681.191406,30681.191406,35653217191
2022-08-17,30678.654297,31359.775391,29997.408203,30146.492188,30146.492188,39958862613
2022-08-18,30153.003906,30374.957031,30009.201172,30055.042969,30055.042969,30747578336
2022-08-19,30055.785156,30055.785156,27105.398438,27116.707031,27116.707031,52615704738
2022-08-20,27110.585938,27731.388672,27089.662109,27491.431641,27491.431641,35842499301
2022-08-21,27484.070313,28152.099609,27409.781250,27977.066406,27977.066406,30014448887
2022-08-22,27973.613281,27973.613281,27246.275391,27924.312500,27924.312500,41322912555
2022-08-23,27927.101563,28038.933594,27352.595703,27899.431641,27899.431641,41312817212
2022-08-24,27897.318359,28242.412109,27514.298828,27752.271484,27752.271484,41459421447
2022-08-25,27752.839844,28132.164063,27698.007813,27950.058594,27950.058594,40148939386
2022-08-26,27943.822266,28142.570313,26335.076172,26414.000000,26414.000000,55183551893
2022-08-27,26417.208984,26519.285156,25932.269531,26129.416016,26129.416016,39264686445
2022-08-28,26128.500000,26251.660156,25624.169922,25624.169922,25624.169922,31828780832
2022-08-29,25622.000000,26463.359375,25598.332031,26392.507813,26392.507813,42437435040
2022-08-30,26393.310547,26698.515625,25710.291016,25917.250000,25917.250000,45144339398
2022-08-31,25920.878906,26698.240234,25920.878906,26351.824219,26351.824219,43668621294
2022-09-01,26352.791016,26568.863281,25877.042969,26464.511719,26464.511719,39685356568
2022-09-02,26463.109375,26688.962891,26014.587891,26213.320313,26213.320313,38229617192
2022-09-03,26213.250000,26301.582031,25857.046875,26032.589844,26032.589844,30995671995
2022-09-04,26033.093750,26285.992188,25776.267578,26268.898438,26268.898438,33181090394
2022-09-05,26271.626953,26315.675781,25878.812500,26014.238281,26014.238281,37832937417
2022-09-06,26021.265625,26409.750000,24719.500000,24782.646484,24782.646484,57101840615
2022-09-07,24782.667969,25500.941406,24593.673828,25329.199219,25329.199219,46271633584
2022-09-08,25328.695313,25412.361328,25097.097656,25287.521484,25287.521484,42117202257
2022-09-09,25285.304688,27983.789063,25249.083984,27907.750000,27907.750000,63264851645
2022-09-10,27902.214844,28402.599609,27630.474609,28298.523438,28298.523438,48181657692
2022-09-11,28295.919922,28354.599609,27941.414063,28352.910156,28352.910156,44925923362
2022-09-12,28354.072266,29097.806641,28148.796875,29041.136719,29041.136719,65184932198
2022-09-13,29042.476563,29410.460938,26422.878906,26725.304688,26725.304688,67273257080
2022-09-14,26577.628906,26949.675781,26063.509766,26637.658203,26637.658203,49840772825
2022-09-15,26639.238281,26749.882813,25931.818359,26102.625000,26102.625000,48212711066
2022-09-16,26106.330078,26383.964844,25779.984375,26227.443359,26227.443359,39957284504
2022-09-17,26233.345703,26744.691406,26233.345703,26698.324219,26698.324219,33104931820
2022-09-18,26697.869141,26697.869141,25728.558594,25749.294922,25749.294922,41442274405
2022-09-19,25748.054688,26025.767578,24464.789063,25884.498047,25884.498047,53210944576
2022-09-20,25886.435547,25935.031250,25158.914063,25247.917969,25247.917969,49172370435
2022-09-21,25248.578125,26331.345703,24623.335938,25000.466797,25000.466797,62494824266
2022-09-22,24983.281250,26230.173828,24886.093750,26156.771484,26156.771484,55424112372
2022-09-23,26155.218750,26258.875000,25245.029297,26224.427734,26224.427734,52857630788
2022-09-24,26223.548828,26241.496094,25632.384766,25734.357422,25734.357422,35535926835
2022-09-25,25733.406250,25999.701172,25437.535156,25533.437500,25533.437500,31723067580
2022-09-26,25535.884766,26190.197266,25512.470703,26359.492188,26359.492188,60539966822
2022-09-27,26358.353516,27878.062500,25982.865234,26226.167969,26226.167969,80379929447
2022-09-28,26218.035156,26794.498047,25555.498047,26478.427734,26478.427734,72335649461
2022-09-29,26479.871094,26748.849609,26002.062500,26766.615234,26766.615234,56120236266
2022-09-30,26767.136719,27585.304688,26454.470703,26875.234375,26875.234375,60820186740
2022-10-01,26874.287109,26929.677734,26597.644531,26709.689453,26709.689453,25890150172
2022-10-02,26709.349609,26790.203125,26141.363281,26249.921875,26249.921875,28623273675
2022-10-03,26249.867188,26776.968750,26265.142578,26740.169922,26740.169922,41540169061
2022-10-04,26740.175781,27531.216797,26650.294922,27470.966797,27470.966797,48476464273
2022-10-05,27469.693359,27489.388672,27091.041016,27412.263672,27412.263672,45173956132
2022-10-06,27412.701172,27736.779297,27346.443359,27422.730469,27422.730469,47700354275
2022-10-07,27425.638672,27509.998047,26593.650391,26845.154297,26845.154297,40140064274
2022-10-08,26844.439453,26920.478516,26505.332031,26666.228516,26666.228516,22574746042
2022-10-09,26667.480469,26857.310547,26573.789063,26703.345703,26703.345703,23120507978
2022-10-10,26703.332031,26776.197266,26318.269531,26363.144531,26363.144531,37771880516
2022-10-11,26359.722656,26490.214844,26178.462891,26276.935547,26276.935547,39600783728
2022-10-12,26278.628906,26536.957031,26267.289063,26473.617188,26473.617188,34478570387
2022-10-13,26472.955078,26760.621094,25591.234375,26680.044922,26680.044922,60867415830
2022-10-14,26679.535156,27300.955078,26536.964844,26634.488281,26634.488281,53381484226
2022-10-15,26634.183594,26671.810547,26403.474609,26470.644531,26470.644531,22478870977
2022-10-16,26472.419922,26906.953125,26472.419922,26696.289063,26696.289063,24923967820
2022-10-17,26696.939453,26959.740234,26528.685547,26813.316406,26813.316406,37677837206
2022-10-18,26812.917969,26917.310547,26359.878906,26541.318359,26541.318359,41978711946
2022-10-19,26542.158203,26563.500000,26345.769531,26362.851563,26362.851563,30888795583
2022-10-20,26360.855469,26423.154297,26139.388672,26251.576172,26251.576172,33746940666
2022-10-21,26250.835938,26232.195313,25966.990234,26159.970703,26159.970703,44289237625
